Timestamp,Cliente,Ambiente,Sección,Descripción,Tiempo (ms),Versión,Muestra,Comentarios
2025-10-31T14:56:29-03:00,Petersen,Testing,Operaciones,Dar de alta una operación de Títulos,4261,V4.686,4,
2025-10-31T14:56:29-03:00,Petersen,Testing,Operaciones,Modificar una operación de Títulos,2221,V4.686,4,
2025-10-31T14:56:29-03:00,Petersen,Testing,Operaciones,Anular una operación de Títulos,835,V4.686,4,
2025-10-31T14:56:29-03:00,Petersen,Testing,Límites,Ingresar en Administrar Límites,4061,V4.686,4,
2025-10-31T14:56:29-03:00,Petersen,Testing,Límites,Agregar un límite para un Call,1941,V4.686,4,
2025-10-31T14:56:29-03:00,Petersen,Testing,Límites,Dar de alta una operación de Call afectada por un límite,81120,V4.686,4,
2025-10-31T14:56:29-03:00,Petersen,Testing,Límites,Revisar que la operación afectada por el límite se muestre en el menú Pendiente de Autorización,1379,V4.686,4,
2025-10-31T14:56:29-03:00,Petersen,Testing,Límites,Eliminar el límite creado,2111,V4.686,4,
2025-10-31T14:56:29-03:00,Petersen,Testing,Consultas,Ingresar en consultas de operaciones,3917,V4.686,4,
2025-10-31T14:56:29-03:00,Petersen,Testing,Consultas,Consultar 3000 operaciones,243847,V4.686,4,
2025-11-03T16:39:18-03:00,Petersen,Testing,Login,Login,3719,V4.686,5,
2025-11-03T16:39:18-03:00,Petersen,Testing,Dashboard,Ingreso al Dashboard,3418,V4.686,5,
2025-11-03T16:39:18-03:00,Petersen,Testing,Dashboard,Cambio de vista a Default Tesorería,1285,V4.686,5,
2025-11-03T16:39:18-03:00,Petersen,Testing,Dashboard,Cambio de vista a Default Mesa,1299,V4.686,5,
2025-11-03T16:39:18-03:00,Petersen,Testing,Cashflow,Visualizar el cashflow Banco Central,17417,V4.686,5,
2025-11-03T16:39:18-03:00,Petersen,Testing,Cashflow,Visualizar el cashflow Intradiario,15387,V4.686,5,
2025-11-03T16:39:18-03:00,Petersen,Testing,Operaciones,Dar de alta una operación de Repos,8345,V4.686,5,
2025-11-03T16:39:18-03:00,Petersen,Testing,Operaciones,Modificar una operación de Repos,2350,V4.686,5,
2025-11-03T16:39:18-03:00,Petersen,Testing,Operaciones,Anular una operación de Repos,929,V4.686,5,
2025-11-03T16:39:18-03:00,Petersen,Testing,Operaciones,Dar de alta una operación de Títulos,4380,V4.686,5,
2025-11-03T16:39:18-03:00,Petersen,Testing,Operaciones,Modificar una operación de Títulos,2258,V4.686,5,
2025-11-03T16:39:18-03:00,Petersen,Testing,Operaciones,Anular una operación de Títulos,873,V4.686,5,
2025-11-03T16:39:18-03:00,Petersen,Testing,Límites,Ingresar en Administrar Límites,3917,V4.686,5,
2025-11-03T16:39:18-03:00,Petersen,Testing,Límites,Agregar un límite para un Call,1866,V4.686,5,
2025-11-03T16:39:18-03:00,Petersen,Testing,Límites,Dar de alta una operación de Call afectada por un límite,82994,V4.686,5,
2025-11-03T16:39:18-03:00,Petersen,Testing,Límites,Revisar que la operación afectada por el límite se muestre en el menú Pendiente de Autorización,1367,V4.686,5,
2025-11-03T16:39:18-03:00,Petersen,Testing,Límites,Eliminar el límite creado,2176,V4.686,5,
2025-11-03T16:39:18-03:00,Petersen,Testing,Consultas,Ingresar en consultas de operaciones,3932,V4.686,5,
2025-11-03T16:39:18-03:00,Petersen,Testing,Consultas,Consultar 3000 operaciones,241996,V4.686,5,
2025-11-04T09:56:52-03:00,Petersen,Testing,Login,Login,3861,V4.686,6,
2025-11-04T09:56:52-03:00,Petersen,Testing,Dashboard,Ingreso al Dashboard,3528,V4.686,6,
2025-11-04T09:56:52-03:00,Petersen,Testing,Dashboard,Cambio de vista a Default Tesorería,1294,V4.686,6,
2025-11-04T09:56:52-03:00,Petersen,Testing,Dashboard,Cambio de vista a Default Mesa,1259,V4.686,6,
2025-11-04T09:56:52-03:00,Petersen,Testing,Cashflow,Visualizar el cashflow Banco Central,17716,V4.686,6,
2025-11-04T09:56:52-03:00,Petersen,Testing,Cashflow,Visualizar el cashflow Intradiario,17482,V4.686,6,
2025-11-04T09:56:52-03:00,Petersen,Testing,Operaciones,Dar de alta una operación de Repos,9922,V4.686,6,
2025-11-04T09:56:52-03:00,Petersen,Testing,Operaciones,Modificar una operación de Repos,2440,V4.686,6,
2025-11-04T09:56:52-03:00,Petersen,Testing,Operaciones,Anular una operación de Repos,941,V4.686,6,
2025-11-04T09:56:52-03:00,Petersen,Testing,Operaciones,Dar de alta una operación de Títulos,4461,V4.686,6,
2025-11-04T09:56:52-03:00,Petersen,Testing,Operaciones,Modificar una operación de Títulos,2165,V4.686,6,
2025-11-04T09:56:52-03:00,Petersen,Testing,Operaciones,Anular una operación de Títulos,866,V4.686,6,
2025-11-04T09:56:52-03:00,Petersen,Testing,Límites,Ingresar en Administrar Límites,3358,V4.686,6,
2025-11-04T09:56:52-03:00,Petersen,Testing,Límites,Agregar un límite para un Call,1877,V4.686,6,
2025-11-04T09:56:52-03:00,Petersen,Testing,Límites,Dar de alta una operación de Call afectada por un límite,84831,V4.686,6,
2025-11-04T09:56:52-03:00,Petersen,Testing,Límites,Revisar que la operación afectada por el límite se muestre en el menú Pendiente de Autorización,1337,V4.686,6,
2025-11-04T09:56:52-03:00,Petersen,Testing,Límites,Eliminar el límite creado,2162,V4.686,6,
2025-11-04T09:56:52-03:00,Petersen,Testing,Consultas,Ingresar en consultas de operaciones,4870,V4.686,6,
2025-11-04T09:56:52-03:00,Petersen,Testing,Consultas,Consultar 3000 operaciones,240580,V4.686,6,
2025-11-04T13:09:07-03:00,Petersen,Testing,Login,Login,3749,V4.686,7,
2025-11-04T13:09:07-03:00,Petersen,Testing,Dashboard,Ingreso al Dashboard,3423,V4.686,7,
2025-11-04T13:09:07-03:00,Petersen,Testing,Dashboard,Cambio de vista a Default Tesorería,1424,V4.686,7,
2025-11-04T13:09:07-03:00,Petersen,Testing,Dashboard,Cambio de vista a Default Mesa,1318,V4.686,7,
2025-11-04T13:09:07-03:00,Petersen,Testing,Cashflow,Visualizar el cashflow Banco Central,17555,V4.686,7,
2025-11-04T13:09:07-03:00,Petersen,Testing,Cashflow,Visualizar el cashflow Intradiario,16422,V4.686,7,
2025-11-04T13:09:07-03:00,Petersen,Testing,Operaciones,Dar de alta una operación de Repos,8633,V4.686,7,
2025-11-04T13:09:07-03:00,Petersen,Testing,Operaciones,Modificar una operación de Repos,2344,V4.686,7,
2025-11-04T13:09:07-03:00,Petersen,Testing,Operaciones,Anular una operación de Repos,895,V4.686,7,
2025-11-04T13:09:07-03:00,Petersen,Testing,Operaciones,Dar de alta una operación de Títulos,4269,V4.686,7,
2025-11-04T13:09:07-03:00,Petersen,Testing,Operaciones,Modificar una operación de Títulos,2251,V4.686,7,
2025-11-04T13:09:07-03:00,Petersen,Testing,Operaciones,Anular una operación de Títulos,833,V4.686,7,
2025-11-04T13:09:07-03:00,Petersen,Testing,Límites,Ingresar en Administrar Límites,3998,V4.686,7,
2025-11-04T13:09:07-03:00,Petersen,Testing,Límites,Agregar un límite para un Call,1932,V4.686,7,
2025-11-04T13:09:07-03:00,Petersen,Testing,Límites,Dar de alta una operación de Call afectada por un límite,82792,V4.686,7,
2025-11-04T13:09:07-03:00,Petersen,Testing,Límites,Revisar que la operación afectada por el límite se muestre en el menú Pendiente de Autorización,1276,V4.686,7,
2025-11-04T13:09:07-03:00,Petersen,Testing,Límites,Eliminar el límite creado,2150,V4.686,7,
2025-11-04T13:09:07-03:00,Petersen,Testing,Consultas,Ingresar en consultas de operaciones,4135,V4.686,7,
